Rk,Player,Pos,Tm,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
356,Larry Nance Jr.,C,CLE,56,1472,17.3,0.608,0.369,0.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,2.8,1.1,3.9,0.128,1.4,0.3,1.8,1.4
357,Shabazz Napier,PG,TOT,51,1234,14.5,0.555,0.538,0.341,2.1,10.8,6.3,29.1,2.5,0.6,18.9,19.6,1.1,0.8,1.9,0.075,-0.3,-0.2,-0.5,0.5
358,Raul Neto,PG,PHI,49,565,11.5,0.562,0.406,0.177,2.1,8,5.1,19.3,1.9,0.8,18.2,17.6,0.2,0.6,0.8,0.071,-1.8,-0.1,-1.9,0
360,Georges Niang,PF,UTA,58,772,12.4,0.612,0.698,0.083,1.8,13.2,7.7,6.7,0.8,0.5,8.6,17.1,1,0.7,1.7,0.105,0.9,-0.4,0.5,0.5
361,Nerlens Noel,C,OKC,55,1014,21.7,0.714,0.012,0.386,9.3,20,14.8,7.9,2.7,6.9,15.4,15.3,2.7,2.1,4.8,0.225,0.5,3.4,4,1.5
364,Frank Ntilikina,PG,NYK,57,1187,9.8,0.497,0.411,0.177,2,9.1,5.4,20.2,2.2,1.3,16.5,15.4,0.1,0.8,0.9,0.037,-3.6,0.4,-3.2,-0.4
365,Kendrick Nunn,SG,MIA,62,1846,13.5,0.545,0.426,0.108,1.2,8.7,5.1,18.7,1.4,0.6,10.2,23.7,1,1.4,2.4,0.064,-0.7,-1.3,-2,0
366,David Nwaba,SF,BRK,20,268,14,0.627,0.394,0.38,3.2,13.9,8.6,4.4,1.9,3.7,8.8,14.2,0.4,0.4,0.8,0.142,-1.1,2,1,0.2
367,Royce O'Neale,PF,UTA,64,1862,9.3,0.584,0.657,0.153,1.4,17.8,10,11.5,1.2,1.3,12.7,9.3,1.8,2.2,4,0.104,-1.3,2.1,0.8,1.3
368,Kyle O'Quinn,C,PHI,26,258,18.1,0.541,0.319,0.264,13.7,28.3,21,19.1,0.9,7.3,18.3,16.5,0.3,0.5,0.8,0.155,-0.7,2.2,1.5,0.2
369,Semi Ojeleye,PF,BOS,61,891,7.6,0.557,0.616,0.176,2.9,11.9,7.5,4.5,1,0.5,6.5,8.8,0.8,0.9,1.7,0.091,-2.1,0.5,-1.6,0.1
370,Jahlil Okafor,C,NOP,28,424,17.8,0.631,0.014,0.403,11.4,18.2,14.8,12.6,0.8,3.7,17.5,19.8,0.7,0.4,1.1,0.129,-0.8,0.6,-0.2,0.2
371,Elie Okobo,PG,PHO,54,707,10.5,0.511,0.392,0.37,2.5,11.6,6.9,21.5,1.6,0.5,15.3,14.9,0.4,0.5,0.9,0.059,-2,-0.1,-2.1,0
372,Josh Okogie,SG,MIN,62,1547,11.5,0.553,0.387,0.48,5.7,12.8,9.1,8.9,2,1.4,15.3,15.1,1,1.2,2.2,0.067,-2.4,0,-2.4,-0.1
375,Kelly Olynyk,C,MIA,59,1089,14.7,0.64,0.584,0.259,4,22,13.4,13.2,1.7,1.6,15.1,16.9,1.7,1.5,3.2,0.14,0.1,1,1.1,0.8
377,Cedi Osman,SF,CLE,65,1910,10.7,0.552,0.527,0.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1.1,0.5,1.6,0.04,-1.6,-0.9,-2.6,-0.3
378,Kelly Oubre Jr.,SF,PHO,56,1933,14.9,0.56,0.372,0.298,3.8,17.3,10.4,6.7,1.7,1.8,8.2,22.4,1.7,1.9,3.6,0.09,-0.3,-0.4,-0.6,0.7
381,Jabari Parker,PF,TOT,33,852,17,0.561,0.291,0.185,6.7,18.1,12.3,11.7,2.3,1.5,12.2,24,0.5,0.7,1.2,0.066,0.2,-0.4,-0.1,0.4
383,Eric Paschall,PF,GSW,60,1654,14.5,0.571,0.202,0.331,5.2,13.1,9,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,0.062,-0.7,-2,-2.7,-0.3
384,Anžejs Pasečņiks,C,WAS,24,405,11.6,0.555,0.019,0.509,10.2,16.9,13.4,5.7,0.9,2.6,14.5,15.6,0.3,0.2,0.5,0.056,-3.8,-1.6,-5.4,-0.3
385,Patrick Patterson,PF,LAC,51,607,11.7,0.576,0.755,0.181,5.2,15.1,10.3,6.9,0.5,0.4,8.1,15.1,0.9,0.6,1.5,0.118,0.9,-0.5,0.4,0.4
387,Chris Paul,PG,OKC,63,2003,21.7,0.609,0.347,0.311,1.2,15.5,8.6,33.4,2.4,0.4,13,23.2,5.5,2.5,8.1,0.194,3.1,1.2,4.3,3.2
388,Elfrid Payton,PG,NYK,45,1246,16,0.47,0.157,0.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,0.5,1.2,1.7,0.065,-0.3,0.3,0,0.6
389,Gary Payton II,PG,WAS,29,432,11.3,0.473,0.397,0.069,6.3,14.3,10.2,14.7,3.6,1.4,14.3,13.4,0.1,0.4,0.4,0.049,-3.1,1.5,-1.6,0
390,Norvel Pelle,C,PHI,20,178,11.2,0.521,0,0.343,9.9,27.3,18.6,5.3,0.3,12,24.4,12.9,-0.1,0.4,0.3,0.082,-7.1,3.1,-4.1,-0.1
391,Theo Pinson,SG,BRK,33,365,5.2,0.37,0.516,0.103,2.9,12.1,7.6,22,2.2,0.9,16.9,22.4,-1,0.5,-0.6,-0.074,-6.9,-0.2,-7.1,-0.5
392,Mason Plumlee,C,DEN,53,900,19.1,0.615,0.016,0.556,11,23.9,17.4,20,1.6,3.4,18.9,18.4,1.7,1.3,3,0.162,0.2,2,2.2,1
393,Jakob Poeltl,C,SAS,58,965,19.6,0.611,0,0.339,11.6,23,17.3,14.6,1.5,7.7,15.2,13.3,2,1.3,3.3,0.165,0.8,2.3,3.1,1.2
394,Vincent Poirier,C,BOS,21,114,12.8,0.54,0.061,0.212,9.5,22.4,16,8.6,0.8,4.9,14.3,15.8,0.1,0.2,0.3,0.124,-4.5,0.7,-3.8,-0.1
396,Jordan Poole,SG,GSW,57,1274,7.2,0.454,0.528,0.237,0.7,9.6,5,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5
397,Kevin Porter Jr.,SF,CLE,50,1162,10.8,0.535,0.375,0.24,2.1,13.5,7.7,13.9,1.9,1,16.7,20.5,-0.3,0.6,0.3,0.011,-3.2,-0.6,-3.7,-0.5
398,Michael Porter Jr.,PF,DEN,48,670,18.5,0.589,0.358,0.151,8.8,24.3,16.5,8,1.5,2.6,10.3,22,1,0.9,2,0.141,1.4,-0.7,0.8,0.5
400,Bobby Portis,C,NYK,66,1393,14.6,0.53,0.317,0.158,6,20.4,12.9,11.1,1.1,1.2,10.4,21.4,0.9,1,1.9,0.064,0.1,-1.1,-1,0.3
401,Kristaps Porziņģis,PF,DAL,51,1597,19.3,0.54,0.447,0.282,5.9,25.3,15.8,8.6,1.1,5.6,8.5,26.6,1.7,2.6,4.3,0.129,1.2,0.3,1.5,1.4
402,Dwight Powell,C,DAL,40,1061,16,0.677,0.17,0.485,7.5,14.7,11.2,7.7,1.6,1.8,11.5,12.7,2.6,1.1,3.7,0.169,0.4,1,1.4,0.9
403,Norman Powell,SG,TOR,44,1269,17.4,0.629,0.457,0.252,2,11.2,6.7,9.7,2.1,1.3,10,21.5,2.2,1.9,4.2,0.157,1.4,0.9,2.3,1.4
405,Julius Randle,PF,NYK,64,2080,17.5,0.538,0.23,0.35,7.5,24.9,16,15.8,1.2,1,14.3,27.6,1,1.7,2.7,0.062,0.7,-1,-0.3,0.9
407,Cam Reddish,SF,ATL,58,1551,9,0.5,0.451,0.227,2.4,12.7,7.5,8,1.9,1.5,13.6,18.9,-1.2,0.8,-0.4,-0.011,-3.2,-1,-4.2,-0.9
408,J.J. Redick,SG,NOP,54,1425,15.1,0.639,0.618,0.292,0.7,9.7,5.2,10.8,0.6,0.5,9.4,19.9,3.2,0.6,3.7,0.125,2,-1.6,0.4,0.9
409,Naz Reid,C,MIN,30,495,15.3,0.505,0.399,0.218,7,19.9,13.2,11.2,1.8,3.7,7.6,24,0.2,0.6,0.8,0.074,-1.6,-0.3,-1.9,0
410,Josh Richardson,SG,PHI,48,1474,12.1,0.526,0.373,0.223,2.8,9.4,6.1,14.8,1.5,2,12.6,21.1,0.3,1.6,1.9,0.062,-1.5,-0.2,-1.7,0.1
411,Austin Rivers,SG,HOU,60,1402,10.3,0.538,0.537,0.208,1.9,8.8,5.3,9.5,1.4,0.6,6.9,14.9,1.3,1,2.2,0.077,-1.9,-0.4,-2.3,-0.1
412,Duncan Robinson,SF,MIA,65,1949,12.8,0.678,0.886,0.086,0.5,11.2,6.1,7,0.9,0.8,8.6,15.8,3.2,1.5,4.7,0.116,1.2,-0.9,0.3,1.1
413,Glenn Robinson III,SF,TOT,60,1743,13.4,0.576,0.33,0.144,4.7,11.7,8.1,8.6,1.5,0.8,7.9,16.4,2,0.8,2.8,0.077,-0.5,-1.1,-1.6,0.2
414,Jerome Robinson,SG,TOT,55,748,6,0.439,0.481,0.134,1.3,13.8,7.5,11.4,1.4,1.6,12.9,14.6,-0.7,0.7,0,0.003,-4.6,0.1,-4.5,-0.5
416,Mitchell Robinson,C,NYK,61,1412,23.5,0.726,0,0.434,13.7,18.8,16.2,3.9,1.8,8,8.3,13.3,4.8,2,6.8,0.23,1.6,1.3,3,1.8
418,Rajon Rondo,PG,LAL,48,984,12.4,0.494,0.381,0.125,2.6,12.9,7.9,32.4,1.9,0.2,20.8,18.7,0.2,1.3,1.5,0.073,-1.1,0,-1.2,0.2
419,Derrick Rose,PG,DET,50,1298,21.1,0.555,0.195,0.185,2.3,8.3,5.3,40.5,1.5,1,13.4,31.6,1.9,0.6,2.5,0.093,4,-1.7,2.2,1.4
420,Terrence Ross,SG,ORL,63,1723,14.2,0.548,0.584,0.207,0.8,12.3,6.3,6.8,2,1.2,6.8,22.8,1,1.8,2.9,0.08,0,-0.3,-0.4,0.7
421,Terry Rozier,PG,CHO,63,2164,14.9,0.553,0.45,0.202,2.4,11.8,7,20.4,1.4,0.4,12.1,23.7,1.9,1.1,3,0.067,0.8,-1.3,-0.4,0.8
422,Ricky Rubio,PG,PHO,57,1802,16.3,0.531,0.308,0.334,2.5,14,8.2,39.9,2.3,0.4,18.1,20.2,2.4,1.7,4.1,0.109,0.5,0.2,0.7,1.2
423,D'Angelo Russell,PG,TOT,45,1452,18.7,0.556,0.509,0.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,1.1,0.7,1.8,0.06,3.8,-1.9,1.9,1.4
424,Domantas Sabonis,C,IND,62,2159,20.7,0.586,0.079,0.349,9.7,29.5,19.7,21.7,1.1,1.2,14.8,23.4,4.2,3.3,7.6,0.168,2.1,1.1,3.2,2.9
426,JaKarr Sampson,SF,IND,26,340,11.8,0.607,0.16,0.247,4.9,14.2,9.6,3.6,1.3,2.3,7.2,12.5,0.4,0.4,0.8,0.117,-2.7,0.8,-1.8,0
427,Dario Šarić,PF,PHO,58,1441,13.3,0.572,0.455,0.202,6.7,20.2,13.3,10.9,1.1,0.9,12.3,17.2,1.5,1.2,2.7,0.091,-0.5,-0.4,-0.9,0.4
428,Tomáš Satoranský,PG,CHI,65,1878,13.5,0.533,0.361,0.22,4.3,11,7.5,27.1,2.1,0.4,17.7,16.7,1.8,1.7,3.5,0.09,-1,-0.2,-1.2,0.4
429,Admiral Schofield,SF,WAS,27,293,6.8,0.514,0.627,0.173,2.2,10.9,6.4,6.2,1.3,0.9,8,12.5,0.1,0,0.1,0.02,-4.2,-1.1,-5.3,-0.2
430,Dennis Schröder,PG,OKC,63,1952,16.8,0.573,0.339,0.243,1.1,11.8,6.6,21.6,1.1,0.6,13.2,27.2,1.9,1.6,3.5,0.086,1.1,-1.2,-0.1,1
431,Mike Scott,PF,PHI,63,1119,10.2,0.539,0.639,0.094,5.7,16.5,11.1,5.9,0.8,0.4,6.7,13.8,1,1.1,2.1,0.089,-1.2,-1.1,-2.3,-0.1
432,Thabo Sefolosha,PF,HOU,41,436,9.5,0.487,0.593,0.088,5,17.4,11.2,7.5,2.6,2.4,13.7,10.4,0.1,0.6,0.7,0.073,-2.7,1.6,-1.1,0.1
